Thalassiosira pseudonana	Chromalviolata	THAPS	thalassiosira	diatom	35128
Theobroma cacao	Plants	THECC	cacao	cocoa	3641
Theria		Theria			32525
Thermococcaceae		Thermococcaceae			2259
Thermococcus kodakaraensis	Archaea	THEKO	thermococcus	archaea	69014
Thermodesulfovibrio yellowstonii	Bacteria	THEYD	thermodesulfovibrio	nitrospirae bacteria	289376
Thermoproteales		Thermoproteales			2266
Thermoprotei		Thermoprotei			183924
Thermotoga maritima	Bacteria	THEMA	thermotoga	thermotogae bacteria	243274
Tracheophyta		Tracheophyta			58023
Tribolium castaneum	Invertebrates	TRICA	tribolium	red flour beetle	7070
Trichomonas vaginalis	Excavates	TRIVA	trichomonas	protist	5722
Trichomonas vaginalis	Protista	TRIVA	trichomonas	protist	5722
Trichomonas vaginalis	Protists	TRIV3	trichomonas	excavate	412133	100	0
Trichoplax adhaerens	Invertebrates	TRIAD	trichoplax	placozoan	10228
Triticeae		Triticeae			147389
Triticum aestivum	Plants	WHEAT	wheat	wheat	4565
Trypanosoma brucei	Invertebrates	TRYB2	t_brucei	excavate	185431
Trypanosomatidae		Trypanosomatidae			5654
Unikonts		Unikonts			
Ustilago maydis	Fungi	USTMA	ustilago	fungi	237631
Vibrio cholerae	Bacteria	VIBCH	cholera	cholera	243277
Viridiplantae		Viridiplantae			33090
Vitis vinifera	Plants	VITVI	grape	grape	29760
Xanthomonas campestris	Bacteria	XANCP	xanthomonas	xanthomonas	190485
Xenopus laevis	Vertebrates	XENLA	x_laevis	african clawed frog	8355
Xenopus tropicalis	Vertebrates	XENTR	frog	frog	8364
Xenopus		Xenopus			262014
Yarrowia lipolytica	Fungi	YARLI	yarrowia	fungi	284591
Yersinia pestis	Bacteria	YERPE	yersinia	yersinia	632
Zea mays	Plants	MAIZE	maize	corn	4577
Zingiberales-Arecales		Zingiberales-Arecales			
Zostera marina	Plants	ZOSMR	eelgrass	eelgrass	29655
